"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","11 Jun 2005","28","115.07","4504.142"
"USEP","11 Jun 2005","29","112.07","4472.528"
"USEP","11 Jun 2005","30","112.06","4433.608"
"USEP","11 Jun 2005","31","106.90","4391.025"
"USEP","11 Jun 2005","32","106.90","4352.060"
"USEP","11 Jun 2005","33","93.10","4325.953"
"USEP","11 Jun 2005","34","87.64","4286.690"
"USEP","11 Jun 2005","35","96.47","4241.005"
"USEP","11 Jun 2005","36","97.00","4190.406"
"USEP","11 Jun 2005","37","101.07","4211.339"
"USEP","11 Jun 2005","38","106.89","4282.361"
"USEP","11 Jun 2005","39","115.83","4340.619"
"USEP","11 Jun 2005","40","116.04","4351.255"
"USEP","11 Jun 2005","41","115.84","4343.273"
"USEP","11 Jun 2005","42","115.09","4333.403"
"USEP","11 Jun 2005","43","115.07","4322.101"
"USEP","11 Jun 2005","44","111.08","4291.908"
"USEP","11 Jun 2005","45","101.19","4242.089"
"USEP","11 Jun 2005","46","115.78","4205.256"
"USEP","11 Jun 2005","47","101.21","4147.286"
"USEP","11 Jun 2005","48","96.35","4060.689"
