DATE,Hour,Hour2,Month,Day,tintH_set,tintC_set,People,Ve,I_int,w_int,Ealf_nove,Epro,Edata,Qcdata,Qcrefri,Mww,Mw
8/1/2010 23:59,1.00,193,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
9/1/2010 0:59,2.00,194,1,7,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
9/1/2010 1:59,3.00,195,1,7,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
9/1/2010 2:59,4.00,196,1,7,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
9/1/2010 3:59,5.00,197,1,7,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
9/1/2010 4:59,6.00,198,1,7,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
9/1/2010 5:59,7.00,199,1,7,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
9/1/2010 6:59,8.00,200,1,7,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
9/1/2010 7:59,9.00,201,1,7,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
9/1/2010 8:59,10.00,202,1,7,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
9/1/2010 9:59,11.00,203,1,7,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
9/1/2010 10:59,12.00,204,1,7,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
9/1/2010 11:59,13.00,205,1,7,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
9/1/2010 12:59,14.00,206,1,7,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
9/1/2010 13:59,15.00,207,1,7,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
9/1/2010 14:59,16.00,208,1,7,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
9/1/2010 15:59,17.00,209,1,7,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
9/1/2010 16:59,18.00,210,1,7,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
9/1/2010 17:59,19.00,211,1,7,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
9/1/2010 18:59,20.00,212,1,7,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
9/1/2010 19:59,21.00,213,1,7,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
9/1/2010 20:59,22.00,214,1,7,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
9/1/2010 21:59,23.00,215,1,7,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
9/1/2010 22:59,24.00,216,1,7,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
9/1/2010 23:59,1.00,217,1,7,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
10/1/2010 0:59,2.00,218,1,1,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
10/1/2010 1:59,3.00,219,1,1,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
10/1/2010 2:59,4.00,220,1,1,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
10/1/2010 3:59,5.00,221,1,1,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
10/1/2010 4:59,6.00,222,1,1,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
10/1/2010 5:59,7.00,223,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
10/1/2010 6:59,8.00,224,1,1,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
10/1/2010 7:59,9.00,225,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
10/1/2010 8:59,10.00,226,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
