description,code,U_wall,a_wall,e_wall,r_wall,GHG_wall_kgCO2m2,GHG_biogenic_wall_kgCO2m2,Service_Life_wall
IWU Trade Buildings (9) 1979 - 2009,WALL_NWG_9_B,0.4,0.5,0.8000000000000002,0.5,112,0,30
IWU Trade Buildings (9) 2010 - 2030,WALL_NWG_9_C,0.25,0.5,0.8000000000000002,0.5,112,0,30
IWU Technical and Utility (supply and disposal) (10) 1860 - 1978,WALL_NWG_10_A,1.98,0.5,0.8000000000000002,0.5,112,0,30
IWU Technical and Utility (supply and disposal) (10) 1979 - 2009,WALL_NWG_10_B,0.47,0.5,0.8000000000000002,0.5,112,0,30
IWU Technical and Utility (supply and disposal) (10) 2010 - 2030,WALL_NWG_10_C,0.16,0.5,0.8000000000000002,0.5,112,0,30
IWU Transport (11)  1860 - 1978,WALL_NWG_11_A,1.78,0.5,0.8000000000000002,0.5,112,0,30
IWU Transport (11) 1979 - 2009,WALL_NWG_11_B,0.63,0.5,0.8000000000000002,0.5,112,0,30
IWU Transport (11) 2010 - 2030,WALL_NWG_11_C,0.16,0.5,0.8000000000000002,0.5,112,0,30
"IWU Generalized (1) Services building, Includes categories (1) to (7) and (9)  1860 - 1978",WALL_NWG_G1_A,1.12,0.5,0.8000000000000002,0.5,112,0,30
"IWU Generalized (1) Services building, Includes categories (1) to (7) and (9) 1979 - 2009",WALL_NWG_G1_B,0.46,0.5,0.8000000000000002,0.5,112,0,30
"IWU Generalized (1) Services building, Includes categories (1) to (7) and (9) 2010 - 2030",WALL_NWG_G1_C,0.25,0.5,0.8000000000000002,0.5,112,0,30
"IWU Generalized (2) Production buildings and similar, Includes cat. (8), (10), (11)  1860 - 1978",WALL_NWG_G2_A,1.08,0.5,0.8000000000000002,0.5,112,0,30
"IWU Generalized (2) Production buildings and similar, Includes cat. (8), (10), (11) 1979 - 2009",WALL_NWG_G2_B,0.5,0.5,0.8000000000000002,0.5,112,0,30
"IWU Generalized (2) Production buildings and similar, Includes cat. (8), (10), (11) 2010 - 2030",WALL_NWG_G2_C,0.24,0.5,0.8000000000000002,0.5,112,0,30
NoRotrofit,WALL_NoRet,0.8,0.3,0.84,0.7,0,0,60
